Company Name,Founder,University,Location,Latitude,Longitude,Year Founded,Therapeutic Areas,Development Stage
Company 26,Dr. Sandra Garcia,UC Berkeley,"Pasadena, CA",42.3601,-122.2727,2005,Oncology,Clinical Phase III
Company 27,Dr. David Garcia,UC Berkeley,"Boston, MA",41.8781,-118.2437,2017,Neurology,Market-ready
Company 28,Dr. Michael Desai,MIT,"Boston, MA",41.3083,-83.743,2005,Ophthalmology,Clinical Phase II
Company 29,Dr. Alice Smith,Princeton University,"Pasadena, CA",41.3083,-118.2437,2015,Neurology,Preclinical
Company 30,Dr. Sandra Desai,Harvard University,"Boston, MA",41.3083,-72.9279,2009,Dermatology,Market-ready
Company 31,Dr. Michael Desai,MIT,"Boston, MA",37.8716,-122.143,2004,Endocrinology,Clinical Phase I
Company 32,Dr. Laura Lee,Caltech,"New Haven, CT",41.8781,-118.1445,2005,Immunology,Preclinical
Company 33,Dr. John Brown,University of Michigan,"New Haven, CT",41.3083,-72.9279,2010,Gene Therapy,Clinical Phase II
Company 34,Dr. Emily Brown,Yale University,"Chicago, IL",40.3487,-122.143,2014,Rare Diseases,Market-ready
Company 35,Dr. David Smith,Stanford University,"Pasadena, CA",40.3487,-74.6592,2019,Oncology,Clinical Phase III
Company 36,Dr. Sandra Desai,Princeton University,"Palo Alto, CA",37.4419,-118.2437,2001,Immunology,Clinical Phase I
Company 37,Dr. James Chen,Stanford University,"Pasadena, CA",41.3083,-71.1097,2011,Neurology,Market-ready
Company 38,Dr. Sophia Smith,Caltech,"Pasadena, CA",34.0522,-83.743,2000,Ophthalmology,Market-ready
Company 39,Dr. Emily Davis,Princeton University,"Ann Arbor, MI",34.1478,-122.2727,2015,Dermatology,Preclinical
Company 40,Dr. Laura Lee,Harvard University,"Ann Arbor, MI",37.4419,-71.0942,2004,Cardiology,Clinical Phase I
Company 41,Dr. Sophia Smith,MIT,"Boston, MA",42.2808,-71.0942,2006,Endocrinology,Clinical Phase I
Company 42,Dr. David Morgan,UC Berkeley,"Cambridge, MA",34.1478,-71.1097,2012,Oncology,Clinical Phase I
Company 43,Dr. Michael Morgan,MIT,"New Haven, CT",34.0522,-122.143,2017,Infectious Diseases,Preclinical
Company 44,Dr. David Johnson,Stanford University,"Princeton, NJ",41.8781,-118.2437,2016,Oncology,Clinical Phase I
Company 45,Dr. Sandra Desai,Princeton University,"Palo Alto, CA",37.4419,-71.0942,2020,Ophthalmology,Preclinical
Company 46,Dr. Michael Garcia,UCLA,"Ann Arbor, MI",42.3736,-74.6592,2015,Gene Therapy,Clinical Phase III
Company 47,Dr. David Smith,Yale University,"Pasadena, CA",42.2808,-118.2437,2013,Dermatology,Preclinical
Company 48,Dr. John Johnson,University of Michigan,"Pasadena, CA",37.8716,-118.1445,2021,Oncology,Clinical Phase II
Company 49,Dr. John Chen,UC Berkeley,"Cambridge, MA",42.3601,-118.2437,2015,Infectious Diseases,Clinical Phase I
Company 50,Dr. Sandra Chen,Stanford University,"Cambridge, MA",37.8716,-72.9279,2013,Infectious Diseases,Clinical Phase II
Company 51,Dr. Michael Wilson,Yale University,"New Haven, CT",34.0522,-83.743,2022,Immunology,Clinical Phase II
Company 52,Dr. Sophia Lee,Caltech,"Ann Arbor, MI",41.8781,-71.1097,2014,Dermatology,Clinical Phase III
Company 53,Dr. James Johnson,UC Berkeley,"Palo Alto, CA",41.3083,-118.2437,2015,Gene Therapy,Market-ready
Company 54,Dr. James Johnson,Yale University,"Palo Alto, CA",42.3601,-118.2437,2005,Neurology,Clinical Phase III
Company 55,Dr. David Smith,Princeton University,"Boston, MA",41.3083,-122.143,2002,Rare Diseases,Preclinical
Company 56,Dr. Emily Wilson,Caltech,"Boston, MA",34.0522,-118.1445,2018,Rare Diseases,Preclinical
Company 57,Dr. John Desai,Harvard University,"Princeton, NJ",41.8781,-118.2437,2000,Cardiology,Clinical Phase I
Company 58,Dr. Alice Desai,University of Michigan,"Berkeley, CA",34.1478,-71.0942,2007,Dermatology,Clinical Phase II
Company 59,Dr. Emily Chen,Stanford University,"Pasadena, CA",40.3487,-118.2437,2009,Cardiology,Clinical Phase III
Company 60,Dr. Laura Garcia,University of Chicago,"Boston, MA",34.1478,-122.2727,2001,Cardiology,Market-ready
Company 61,Dr. Rahul Johnson,UCLA,"Princeton, NJ",34.1478,-118.2437,2008,Endocrinology,Clinical Phase III
Company 62,Dr. Laura Garcia,University of Chicago,"Cambridge, MA",42.2808,-74.6592,2007,Rare Diseases,Clinical Phase I
Company 63,Dr. John Wilson,Stanford University,"Pasadena, CA",34.1478,-72.9279,2017,Neurology,Clinical Phase III
Company 64,Dr. Sandra Wilson,UC Berkeley,"Boston, MA",42.3736,-83.743,2009,Oncology,Market-ready
Company 65,Dr. Alice Desai,Stanford University,"Los Angeles, CA",37.4419,-122.2727,2005,Neurology,Market-ready
Company 66,Dr. Sophia Lee,Stanford University,"New Haven, CT",37.8716,-118.1445,2014,Gene Therapy,Clinical Phase II
Company 67,Dr. David Desai,Princeton University,"Boston, MA",40.3487,-74.6592,2018,Infectious Diseases,Clinical Phase II
Company 68,Dr. Sandra Johnson,MIT,"Pasadena, CA",34.1478,-72.9279,2023,Oncology,Clinical Phase I
Company 69,Dr. Emily Davis,UCLA,"Princeton, NJ",34.0522,-83.743,2015,Gene Therapy,Clinical Phase II
Company 70,Dr. Alice Lee,Harvard University,"Chicago, IL",34.0522,-83.743,2017,Oncology,Preclinical
Company 71,Dr. Sophia Chen,Harvard University,"Cambridge, MA",42.3601,-72.9279,2016,Gene Therapy,Clinical Phase II
Company 72,Dr. Sophia Desai,Yale University,"Pasadena, CA",41.3083,-74.6592,2003,Endocrinology,Preclinical
Company 73,Dr. Sandra Wilson,Harvard University,"Palo Alto, CA",42.3736,-118.1445,2018,Endocrinology,Clinical Phase III
Company 74,Dr. James Smith,UCLA,"New Haven, CT",42.3736,-118.1445,2003,Cardiology,Preclinical
Company 75,Dr. Emily Brown,Yale University,"Palo Alto, CA",42.2808,-122.143,2008,Dermatology,Clinical Phase I
Company 76,Dr. Emily Wilson,Yale University,"Princeton, NJ",34.1478,-118.1445,2017,Oncology,Market-ready
Company 77,Dr. Sophia Morgan,UC Berkeley,"Chicago, IL",42.3601,-72.9279,2011,Ophthalmology,Clinical Phase I
Company 78,Dr. James Brown,MIT,"Cambridge, MA",34.1478,-118.2437,2017,Cardiology,Clinical Phase I
Company 79,Dr. John Morgan,University of Chicago,"Los Angeles, CA",42.2808,-72.9279,2001,Neurology,Clinical Phase I
Company 80,Dr. Rahul Brown,Caltech,"Pasadena, CA",40.3487,-72.9279,2023,Endocrinology,Clinical Phase I
Company 81,Dr. Sandra Smith,UC Berkeley,"Pasadena, CA",42.3736,-122.2727,2014,Rare Diseases,Clinical Phase II
Company 82,Dr. Alice Smith,University of Michigan,"Princeton, NJ",37.4419,-71.1097,2017,Endocrinology,Clinical Phase III
Company 83,Dr. James Desai,MIT,"Princeton, NJ",37.8716,-71.0942,2006,Rare Diseases,Market-ready
Company 84,Dr. Rahul Davis,MIT,"Boston, MA",41.8781,-118.2437,2013,Oncology,Preclinical
Company 85,Dr. Rahul Wilson,MIT,"Chicago, IL",42.2808,-87.6298,2003,Oncology,Preclinical
Company 86,Dr. Emily Chen,Stanford University,"New Haven, CT",41.3083,-71.1097,2023,Gene Therapy,Clinical Phase III
Company 87,Dr. John Wilson,University of Michigan,"New Haven, CT",37.8716,-83.743,2020,Rare Diseases,Clinical Phase I
Company 88,Dr. Emily Lee,UC Berkeley,"Ann Arbor, MI",41.3083,-74.6592,2007,Infectious Diseases,Clinical Phase I
Company 89,Dr. Sophia Garcia,University of Michigan,"Berkeley, CA",42.3736,-71.0942,2009,Immunology,Market-ready
Company 90,Dr. Laura Smith,University of Chicago,"Berkeley, CA",37.8716,-71.0942,2001,Neurology,Preclinical
Company 91,Dr. Sophia Smith,Princeton University,"New Haven, CT",42.3736,-122.2727,2014,Cardiology,Clinical Phase I
Company 92,Dr. Sandra Johnson,University of Michigan,"Boston, MA",42.3601,-83.743,2008,Gene Therapy,Clinical Phase II
Company 93,Dr. David Davis,MIT,"Cambridge, MA",40.3487,-87.6298,2011,Oncology,Market-ready
Company 94,Dr. Sophia Davis,University of Chicago,"New Haven, CT",34.0522,-118.2437,2002,Neurology,Clinical Phase II
Company 95,Dr. Rahul Smith,Princeton University,"Palo Alto, CA",41.3083,-72.9279,2014,Cardiology,Clinical Phase II
Company 96,Dr. Michael Desai,UCLA,"New Haven, CT",40.3487,-118.2437,2003,Dermatology,Clinical Phase III
Company 97,Dr. David Morgan,Princeton University,"Palo Alto, CA",42.2808,-122.2727,2007,Ophthalmology,Clinical Phase III
Company 98,Dr. James Wilson,UCLA,"Princeton, NJ",37.4419,-71.0942,2006,Immunology,Clinical Phase II
Company 99,Dr. Michael Garcia,Harvard University,"Berkeley, CA",37.8716,-118.2437,2023,Rare Diseases,Clinical Phase III
Company 100,Dr. Michael Morgan,Princeton University,"Ann Arbor, MI",40.3487,-118.1445,2018,Rare Diseases,Clinical Phase II
Company 101,Dr. Rahul Morgan,UCLA,"Ann Arbor, MI",34.1478,-74.6592,2022,Gene Therapy,Clinical Phase I
Company 102,Dr. Michael Desai,Caltech,"Boston, MA",40.3487,-72.9279,2011,Immunology,Clinical Phase III
Company 103,Dr. Alice Brown,MIT,"Chicago, IL",42.2808,-83.743,2022,Dermatology,Clinical Phase II
Company 104,Dr. Rahul Wilson,Stanford University,"New Haven, CT",42.3601,-118.1445,2019,Endocrinology,Market-ready
Company 105,Dr. Michael Lee,Princeton University,"Palo Alto, CA",42.3601,-118.1445,2020,Ophthalmology,Market-ready
Company 106,Dr. John Smith,Yale University,"Boston, MA",37.4419,-118.1445,2013,Ophthalmology,Clinical Phase III
Company 107,Dr. Sophia Chen,University of Michigan,"Chicago, IL",41.8781,-87.6298,2005,Neurology,Market-ready
Company 108,Dr. James Garcia,UCLA,"New Haven, CT",37.4419,-72.9279,2019,Oncology,Preclinical
Company 109,Dr. John Smith,UC Berkeley,"Ann Arbor, MI",37.8716,-87.6298,2004,Endocrinology,Preclinical
Company 110,Dr. John Johnson,UCLA,"Berkeley, CA",41.3083,-87.6298,2006,Oncology,Market-ready
Company 111,Dr. Michael Desai,Princeton University,"Chicago, IL",41.3083,-74.6592,2006,Gene Therapy,Clinical Phase II
Company 112,Dr. Rahul Johnson,UCLA,"Boston, MA",40.3487,-118.1445,2001,Oncology,Market-ready
Company 113,Dr. David Johnson,University of Chicago,"Palo Alto, CA",41.3083,-87.6298,2018,Immunology,Market-ready
Company 114,Dr. Laura Davis,UC Berkeley,"Ann Arbor, MI",41.8781,-74.6592,2011,Immunology,Market-ready
Company 115,Dr. Alice Desai,Princeton University,"Princeton, NJ",34.0522,-71.1097,2017,Neurology,Clinical Phase II
Company 116,Dr. Alice Johnson,Stanford University,"Berkeley, CA",42.3601,-74.6592,2008,Gene Therapy,Clinical Phase II
Company 117,Dr. David Desai,University of Chicago,"New Haven, CT",40.3487,-71.1097,2019,Neurology,Preclinical
Company 118,Dr. Michael Smith,UC Berkeley,"Chicago, IL",37.8716,-122.143,2017,Dermatology,Clinical Phase III
Company 119,Dr. Michael Wilson,University of Michigan,"Princeton, NJ",40.3487,-71.1097,2005,Cardiology,Preclinical
Company 120,Dr. John Chen,Yale University,"Palo Alto, CA",42.3736,-71.1097,2010,Oncology,Clinical Phase II
Company 121,Dr. Laura Chen,University of Michigan,"Berkeley, CA",42.3736,-122.2727,2022,Infectious Diseases,Clinical Phase II
Company 122,Dr. Sandra Davis,UCLA,"Princeton, NJ",42.3736,-87.6298,2009,Infectious Diseases,Clinical Phase II
Company 123,Dr. Michael Desai,UCLA,"New Haven, CT",41.8781,-118.2437,2009,Rare Diseases,Clinical Phase II
Company 124,Dr. John Wilson,Harvard University,"Cambridge, MA",41.3083,-122.143,2018,Oncology,Clinical Phase II
Company 125,Dr. Rahul Morgan,UC Berkeley,"New Haven, CT",34.1478,-87.6298,2008,Immunology,Clinical Phase II
Company 126,Dr. Sophia Morgan,UCLA,"Ann Arbor, MI",40.3487,-71.1097,2016,Oncology,Clinical Phase I
Company 127,Dr. Rahul Smith,Harvard University,"Chicago, IL",34.1478,-118.2437,2021,Neurology,Clinical Phase I
Company 128,Dr. Emily Johnson,University of Michigan,"Los Angeles, CA",41.8781,-74.6592,2003,Endocrinology,Market-ready
Company 129,Dr. John Davis,Harvard University,"New Haven, CT",42.3601,-118.1445,2004,Gene Therapy,Clinical Phase I
Company 130,Dr. Michael Johnson,University of Michigan,"Pasadena, CA",40.3487,-72.9279,2013,Oncology,Preclinical
Company 131,Dr. Alice Chen,Princeton University,"Los Angeles, CA",41.8781,-71.1097,2001,Cardiology,Market-ready
Company 132,Dr. Laura Morgan,UCLA,"Los Angeles, CA",41.3083,-71.0942,2008,Oncology,Clinical Phase III
Company 133,Dr. Laura Lee,University of Chicago,"Chicago, IL",42.3601,-71.0942,2020,Immunology,Clinical Phase II
Company 134,Dr. John Lee,University of Michigan,"Chicago, IL",41.3083,-118.1445,2004,Endocrinology,Clinical Phase I
Company 135,Dr. Laura Wilson,Yale University,"Palo Alto, CA",41.8781,-118.1445,2022,Immunology,Preclinical
Company 136,Dr. John Chen,University of Chicago,"Ann Arbor, MI",37.8716,-71.1097,2004,Gene Therapy,Clinical Phase III
Company 137,Dr. Michael Lee,University of Chicago,"Palo Alto, CA",42.3601,-71.1097,2007,Infectious Diseases,Clinical Phase II
Company 138,Dr. Michael Morgan,University of Michigan,"Princeton, NJ",42.2808,-74.6592,2004,Dermatology,Clinical Phase II
Company 139,Dr. James Wilson,UCLA,"Princeton, NJ",42.3601,-74.6592,2022,Dermatology,Clinical Phase III
Company 140,Dr. Alice Brown,MIT,"Princeton, NJ",41.3083,-122.2727,2010,Endocrinology,Clinical Phase III
Company 141,Dr. Alice Morgan,Stanford University,"Cambridge, MA",40.3487,-71.1097,2007,Immunology,Clinical Phase III
Company 142,Dr. James Davis,Harvard University,"New Haven, CT",40.3487,-71.1097,2021,Dermatology,Preclinical
Company 143,Dr. Sophia Wilson,UCLA,"Boston, MA",40.3487,-74.6592,2012,Dermatology,Market-ready
Company 144,Dr. Emily Morgan,Princeton University,"Chicago, IL",34.1478,-83.743,2015,Gene Therapy,Market-ready
Company 145,Dr. Sophia Desai,Harvard University,"Boston, MA",42.3601,-74.6592,2004,Cardiology,Clinical Phase I
Company 146,Dr. Emily Desai,University of Michigan,"Berkeley, CA",42.2808,-83.743,2018,Neurology,Clinical Phase II
Company 147,Dr. James Desai,Yale University,"Chicago, IL",34.1478,-71.1097,2020,Gene Therapy,Clinical Phase I
Company 148,Dr. Michael Johnson,MIT,"Chicago, IL",42.3736,-74.6592,2008,Rare Diseases,Market-ready
Company 149,Dr. Rahul Garcia,Stanford University,"Chicago, IL",41.3083,-122.2727,2020,Rare Diseases,Clinical Phase III
Company 150,Dr. Michael Garcia,UCLA,"Boston, MA",41.3083,-87.6298,2013,Endocrinology,Clinical Phase II
Company 151,Dr. James Morgan,Yale University,"Chicago, IL",37.4419,-122.143,2012,Gene Therapy,Market-ready
Company 152,Dr. James Desai,UC Berkeley,"Pasadena, CA",37.8716,-122.143,2014,Immunology,Clinical Phase II
Company 153,Dr. Laura Garcia,MIT,"Cambridge, MA",42.3601,-74.6592,2002,Infectious Diseases,Clinical Phase I
Company 154,Dr. James Wilson,University of Chicago,"Berkeley, CA",42.2808,-87.6298,2020,Infectious Diseases,Market-ready
Company 155,Dr. David Lee,MIT,"New Haven, CT",42.3736,-118.2437,2002,Infectious Diseases,Clinical Phase I
Company 156,Dr. Michael Brown,Caltech,"Los Angeles, CA",42.3601,-118.2437,2012,Neurology,Clinical Phase II
Company 157,Dr. Michael Lee,Yale University,"Pasadena, CA",34.1478,-71.0942,2016,Rare Diseases,Preclinical
Company 158,Dr. Laura Chen,Caltech,"Boston, MA",42.2808,-74.6592,2023,Endocrinology,Clinical Phase III
Company 159,Dr. Sandra Davis,Caltech,"Ann Arbor, MI",42.3601,-83.743,2008,Dermatology,Clinical Phase I
Company 160,Dr. David Desai,UCLA,"Pasadena, CA",42.3601,-72.9279,2022,Ophthalmology,Clinical Phase II
Company 161,Dr. Alice Davis,MIT,"Los Angeles, CA",34.0522,-83.743,2011,Endocrinology,Market-ready
Company 162,Dr. James Garcia,UCLA,"Princeton, NJ",42.3736,-122.2727,2014,Immunology,Clinical Phase I
Company 163,Dr. Rahul Desai,Princeton University,"Los Angeles, CA",42.3601,-122.143,2015,Oncology,Clinical Phase II
Company 164,Dr. Sophia Smith,UCLA,"Ann Arbor, MI",34.1478,-72.9279,2010,Rare Diseases,Preclinical
Company 165,Dr. Sophia Lee,Yale University,"Pasadena, CA",41.8781,-122.2727,2018,Dermatology,Clinical Phase I
Company 166,Dr. Emily Brown,Stanford University,"Los Angeles, CA",40.3487,-118.1445,2000,Gene Therapy,Clinical Phase II
Company 167,Dr. Rahul Smith,Princeton University,"New Haven, CT",42.3601,-71.0942,2023,Dermatology,Clinical Phase I
Company 168,Dr. David Lee,Stanford University,"Boston, MA",37.8716,-118.2437,2002,Neurology,Clinical Phase II
Company 169,Dr. Emily Davis,MIT,"Pasadena, CA",41.8781,-118.2437,2023,Ophthalmology,Clinical Phase III
Company 170,Dr. Sophia Lee,University of Chicago,"Pasadena, CA",34.0522,-83.743,2014,Neurology,Clinical Phase II
Company 171,Dr. James Wilson,UC Berkeley,"Ann Arbor, MI",42.3736,-122.143,2020,Ophthalmology,Clinical Phase II
Company 172,Dr. Alice Wilson,Caltech,"Berkeley, CA",42.3601,-71.1097,2021,Immunology,Clinical Phase II
Company 173,Dr. Sandra Desai,Yale University,"Princeton, NJ",37.4419,-122.143,2022,Dermatology,Market-ready
Company 174,Dr. Emily Lee,Stanford University,"Princeton, NJ",34.0522,-122.2727,2011,Cardiology,Clinical Phase II
Company 175,Dr. Rahul Desai,UC Berkeley,"Berkeley, CA",42.3736,-122.2727,2002,Endocrinology,Clinical Phase III
Company 176,Dr. Sophia Chen,Harvard University,"Chicago, IL",34.1478,-122.2727,2017,Ophthalmology,Preclinical
Company 177,Dr. Sandra Lee,UCLA,"Los Angeles, CA",41.3083,-74.6592,2012,Endocrinology,Clinical Phase III
Company 178,Dr. James Smith,Caltech,"Boston, MA",37.8716,-118.1445,2006,Cardiology,Preclinical
Company 179,Dr. David Smith,Stanford University,"Chicago, IL",41.8781,-71.1097,2013,Infectious Diseases,Market-ready
Company 180,Dr. Sandra Wilson,Princeton University,"Ann Arbor, MI",37.8716,-71.1097,2006,Ophthalmology,Market-ready
Company 181,Dr. John Lee,Yale University,"Cambridge, MA",34.0522,-87.6298,2015,Cardiology,Market-ready
Company 182,Dr. Alice Desai,UCLA,"Pasadena, CA",37.8716,-122.143,2008,Dermatology,Preclinical
Company 183,Dr. Laura Lee,University of Michigan,"New Haven, CT",40.3487,-118.1445,2010,Rare Diseases,Clinical Phase III
Company 184,Dr. Alice Morgan,UC Berkeley,"Princeton, NJ",42.3601,-122.2727,2009,Gene Therapy,Clinical Phase I
Company 185,Dr. David Chen,Yale University,"Palo Alto, CA",34.1478,-72.9279,2010,Immunology,Market-ready
Company 186,Dr. Sandra Chen,Stanford University,"Princeton, NJ",42.3736,-71.0942,2017,Cardiology,Preclinical
Company 187,Dr. John Wilson,University of Chicago,"Palo Alto, CA",41.8781,-122.143,2018,Infectious Diseases,Clinical Phase III
Company 188,Dr. Laura Wilson,Princeton University,"Ann Arbor, MI",40.3487,-74.6592,2004,Neurology,Market-ready
Company 189,Dr. Alice Desai,Harvard University,"Palo Alto, CA",34.0522,-71.1097,2018,Immunology,Clinical Phase II
Company 190,Dr. Rahul Chen,University of Michigan,"Chicago, IL",40.3487,-118.2437,2015,Rare Diseases,Clinical Phase III
Company 191,Dr. Sophia Morgan,Caltech,"Ann Arbor, MI",41.3083,-118.2437,2010,Immunology,Preclinical
Company 192,Dr. David Garcia,Yale University,"Pasadena, CA",34.1478,-71.0942,2021,Endocrinology,Clinical Phase I
Company 193,Dr. Sophia Chen,University of Michigan,"Princeton, NJ",40.3487,-118.1445,2001,Ophthalmology,Clinical Phase I
Company 194,Dr. Laura Chen,University of Chicago,"Chicago, IL",37.8716,-83.743,2001,Cardiology,Clinical Phase I
Company 195,Dr. Alice Lee,Stanford University,"Berkeley, CA",41.3083,-71.1097,2003,Infectious Diseases,Clinical Phase II
Company 196,Dr. David Morgan,Princeton University,"Palo Alto, CA",41.8781,-122.143,2020,Neurology,Clinical Phase III
Company 197,Dr. David Smith,UCLA,"Los Angeles, CA",34.1478,-83.743,2014,Gene Therapy,Market-ready
Company 198,Dr. Michael Desai,UC Berkeley,"Pasadena, CA",40.3487,-74.6592,2000,Oncology,Clinical Phase III
Company 199,Dr. David Wilson,Stanford University,"New Haven, CT",41.3083,-71.0942,2003,Neurology,Clinical Phase I
Company 200,Dr. Laura Garcia,MIT,"Cambridge, MA",40.3487,-71.1097,2005,Neurology,Clinical Phase II
Company 201,Dr. Emily Smith,Harvard University,"Berkeley, CA",41.3083,-87.6298,2014,Rare Diseases,Clinical Phase I
Company 202,Dr. Emily Chen,Harvard University,"Cambridge, MA",42.2808,-72.9279,2014,Ophthalmology,Preclinical
Company 203,Dr. Laura Morgan,UCLA,"Berkeley, CA",42.3601,-71.1097,2000,Immunology,Clinical Phase III
Company 204,Dr. Emily Brown,Princeton University,"Princeton, NJ",34.1478,-118.2437,2013,Neurology,Clinical Phase II
Company 205,Dr. Laura Smith,Stanford University,"New Haven, CT",34.0522,-71.0942,2006,Infectious Diseases,Clinical Phase I
Company 206,Dr. Sandra Chen,Stanford University,"Los Angeles, CA",34.0522,-87.6298,2022,Dermatology,Clinical Phase II
Company 207,Dr. Rahul Johnson,University of Chicago,"Berkeley, CA",42.2808,-122.2727,2004,Cardiology,Preclinical
Company 208,Dr. Alice Davis,Caltech,"Palo Alto, CA",40.3487,-122.143,2020,Gene Therapy,Preclinical
Company 209,Dr. Michael Smith,MIT,"New Haven, CT",42.2808,-83.743,2009,Gene Therapy,Clinical Phase III
Company 210,Dr. John Brown,UC Berkeley,"Los Angeles, CA",34.0522,-87.6298,2005,Neurology,Clinical Phase II
Company 211,Dr. Sandra Smith,Princeton University,"Cambridge, MA",42.2808,-71.0942,2008,Infectious Diseases,Clinical Phase I
Company 212,Dr. Michael Morgan,Yale University,"New Haven, CT",42.2808,-118.2437,2002,Cardiology,Clinical Phase I
Company 213,Dr. Michael Johnson,Caltech,"Palo Alto, CA",34.0522,-71.0942,2020,Cardiology,Market-ready
Company 214,Dr. David Lee,UC Berkeley,"New Haven, CT",34.1478,-122.2727,2011,Infectious Diseases,Clinical Phase I
Company 215,Dr. Rahul Lee,University of Michigan,"Chicago, IL",41.3083,-74.6592,2008,Immunology,Clinical Phase III
Company 216,Dr. David Wilson,MIT,"Chicago, IL",34.1478,-72.9279,2002,Cardiology,Preclinical
Company 217,Dr. Laura Wilson,UC Berkeley,"Cambridge, MA",41.3083,-122.2727,2011,Infectious Diseases,Clinical Phase I
Company 218,Dr. David Morgan,Stanford University,"Ann Arbor, MI",40.3487,-87.6298,2021,Infectious Diseases,Market-ready
Company 219,Dr. Rahul Lee,Princeton University,"Pasadena, CA",42.2808,-122.143,2020,Gene Therapy,Clinical Phase III
Company 220,Dr. Emily Garcia,University of Michigan,"Chicago, IL",42.2808,-74.6592,2005,Infectious Diseases,Clinical Phase III
Company 221,Dr. Sandra Morgan,UC Berkeley,"Pasadena, CA",37.4419,-72.9279,2001,Neurology,Clinical Phase III
Company 222,Dr. Rahul Garcia,UCLA,"Pasadena, CA",42.3601,-71.1097,2012,Endocrinology,Clinical Phase III
Company 223,Dr. Laura Brown,Harvard University,"Boston, MA",40.3487,-122.143,2020,Ophthalmology,Clinical Phase III
Company 224,Dr. David Johnson,Yale University,"Cambridge, MA",37.8716,-122.2727,2009,Rare Diseases,Clinical Phase III
Company 225,Dr. James Wilson,University of Chicago,"Palo Alto, CA",37.8716,-118.2437,2023,Gene Therapy,Preclinical
Company 226,Dr. Rahul Johnson,Princeton University,"Cambridge, MA",41.3083,-122.143,2022,Endocrinology,Preclinical
Company 227,Dr. James Smith,Princeton University,"Ann Arbor, MI",41.8781,-72.9279,2007,Immunology,Market-ready
Company 228,Dr. Sandra Morgan,University of Chicago,"Los Angeles, CA",42.2808,-71.0942,2013,Oncology,Clinical Phase I
Company 229,Dr. Laura Morgan,Yale University,"Chicago, IL",42.3736,-71.0942,2020,Immunology,Clinical Phase II
Company 230,Dr. Sophia Wilson,Stanford University,"Princeton, NJ",42.2808,-71.0942,2002,Neurology,Preclinical
